# time(s) mx my mz trailx traily trailz
6.528 59.729 15.729 0.651 54.992 17.105 1.472
6.545 60.171 15.604 0.571 55.436 16.985 1.393
6.562 60.613 15.478 0.492 55.880 16.866 1.313
6.579 61.055 15.353 0.412 56.324 16.746 1.234
6.596 61.497 15.227 0.333 56.767 16.627 1.155
6.613 61.939 15.099 0.253 57.211 16.505 1.074
6.630 62.381 14.970 0.173 57.655 16.381 0.993
6.647 62.823 14.841 0.093 58.098 16.258 0.912
6.664 63.265 14.712 0.012 58.542 16.135 0.832
6.681 63.707 14.583 -0.068 58.985 16.012 0.751
6.698 64.149 14.454 -0.148 59.429 15.888 0.670
6.715 64.591 14.322 -0.228 59.872 15.762 0.588
6.732 65.033 14.190 -0.308 60.316 15.635 0.505
6.749 65.475 14.057 -0.387 60.759 15.509 0.423
6.766 65.917 13.925 -0.467 61.203 15.382 0.341
6.783 66.359 13.792 -0.547 61.646 15.255 0.259
6.800 66.801 13.660 -0.627 62.089 15.129 0.177
6.817 67.243 13.524 -0.706 62.532 14.998 0.094
6.834 67.685 13.388 -0.785 62.975 14.867 0.012
6.851 68.127 13.252 -0.864 63.418 14.736 -0.070
6.868 68.569 13.116 -0.943 63.861 14.606 -0.152
6.885 69.011 12.981 -1.022 64.305 14.475 -0.235
6.902 69.453 12.844 -1.100 64.748 14.344 -0.317
6.919 69.895 12.706 -1.177 65.190 14.210 -0.398
6.936 70.337 12.567 -1.255 65.633 14.076 -0.480
6.953 70.779 12.428 -1.332 66.076 13.942 -0.561
6.970 71.221 12.289 -1.409 66.519 13.808 -0.642
6.987 71.663 12.150 -1.486 66.962 13.674 -0.724
7.004 72.105 12.010 -1.563 67.405 13.539 -0.805
7.021 72.547 11.869 -1.638 67.847 13.402 -0.886
7.038 72.989 11.727 -1.713 68.290 13.265 -0.966
7.055 73.431 11.585 -1.788 68.733 13.128 -1.047
7.072 73.873 11.443 -1.863 69.175 12.991 -1.127
7.089 74.315 11.301 -1.938 69.618 12.854 -1.208
7.106 74.757 11.159 -2.012 70.061 12.715 -1.288
7.123 75.199 11.014 -2.083 70.503 12.575 -1.366
7.140 75.641 10.869 -2.155 70.945 12.434 -1.445
7.157 76.083 10.725 -2.227 71.388 12.293 -1.523
7.174 76.525 10.580 -2.299 71.830 12.152 -1.602
7.191 76.967 10.435 -2.371 72.272 12.012 -1.681
7.208 77.409 10.290 -2.441 72.715 11.870 -1.758
7.225 77.851 10.142 -2.509 73.157 11.726 -1.833
7.242 78.293 9.995 -2.578 73.599 11.583 -1.908
7.259 78.735 9.848 -2.646 74.041 11.439 -1.984
7.276 79.177 9.701 -2.714 74.483 11.296 -2.059
7.293 79.619 9.554 -2.782 74.926 11.153 -2.134
7.310 80.061 9.406 -2.848 75.368 11.008 -2.208
7.327 80.503 9.257 -2.912 75.810 10.862 -2.280
7.344 80.945 9.107 -2.976 76.252 10.716 -2.353
7.361 81.387 8.958 -3.040 76.694 10.571 -2.425
7.378 81.829 8.809 -3.104 77.136 10.425 -2.498
7.395 82.271 8.660 -3.168 77.579 10.279 -2.570
7.412 82.713 8.509 -3.229 78.020 10.132 -2.640
7.429 83.155 8.357 -3.288 78.462 9.983 -2.709
7.446 83.597 8.206 -3.348 78.904 9.834 -2.777
7.463 84.039 8.054 -3.407 79.346 9.686 -2.846
7.480 84.481 7.903 -3.466 79.788 9.537 -2.915
7.497 84.923 7.751 -3.526 80.230 9.388 -2.983
7.514 85.365 7.599 -3.580 80.671 9.238 -3.048
7.531 85.807 7.445 -3.634 81.113 9.088 -3.112
7.548 86.249 7.292 -3.688 81.555 8.938 -3.177
7.565 86.691 7.139 -3.742 81.997 8.788 -3.241
7.582 87.133 6.986 -3.796 82.439 8.638 -3.305
7.599 87.575 6.833 -3.850 82.881 8.488 -3.369
7.616 88.017 6.678 -3.898 83.323 8.335 -3.427
7.633 88.459 6.523 -3.946 83.765 8.181 -3.486
7.650 88.901 6.368 -3.994 84.206 8.028 -3.544
7.667 89.343 6.213 -4.042 84.648 7.875 -3.602
7.684 89.785 6.058 -4.090 85.090 7.722 -3.660
7.701 90.227 5.902 -4.138 85.532 7.569 -3.718
7.718 90.669 5.746 -4.180 85.973 7.415 -3.771
7.735 91.111 5.590 -4.222 86.415 7.261 -3.825
7.752 91.553 5.434 -4.264 86.857 7.107 -3.879
7.769 91.995 5.278 -4.306 87.299 6.953 -3.932
7.786 92.437 5.121 -4.348 87.741 6.799 -3.986
7.803 92.879 4.965 -4.388 88.183 6.644 -4.038
