# t mx my mz trailx traily trailz
0.904999 125.299805 -6.672438 -2.198722 120.950256 -5.031494 -0.357871
0.907499 125.949806 -6.899222 -2.510497 121.566269 -5.262446 -0.748231
0.909999 126.599808 -7.125419 -2.810329 122.180374 -5.492937 -1.135939
0.912499 127.249802 -7.350907 -3.094447 122.792686 -5.722876 -1.518484
0.914999 127.899811 -7.575764 -3.363640 123.404396 -5.952294 -1.895438
0.917499 128.549805 -7.799975 -3.616697 124.016159 -6.181212 -2.265525
0.919999 129.199799 -8.023524 -3.852498 124.628754 -6.409593 -2.627429
0.922499 129.849808 -8.246278 -4.066752 125.242805 -6.637329 -2.977341
0.924999 130.499802 -8.468325 -4.261440 125.859383 -6.864483 -3.315807
0.927499 131.149811 -8.689650 -4.435692 126.479332 -7.091043 -3.641266
0.929999 131.799805 -8.910234 -4.588726 127.103394 -7.316994 -3.952091
0.932499 132.449799 -9.129929 -4.716107 127.732224 -7.542202 -4.243241
0.934999 133.099792 -9.348848 -4.820830 128.366501 -7.766764 -4.515925
